"label","name","super_class","is_extendable","sys_updated_on"
"Node Map Related Item","sn_cmdb_ws_node_map_related_item","Application File","false","2024-05-16 12:20:55"
"Table Attributes","sn_cmdb_ws_node_map_table_attributes","Application File","false","2024-05-16 12:20:55"
"Partial Payload Item","sn_cmdb_ws_partial_payload_item","","false","2024-05-16 12:20:55"
"CMDB Product Insight Data","sn_cmdb_ws_product_insight_data","Base Aggregate Data","false","2024-05-16 12:20:57"
"Quick Links","sn_cmdb_ws_quick_links","","false","2024-05-16 12:20:56"
"Rating Configuration","sn_cmdb_ws_rating_config","","false","2024-05-16 12:20:54"
"Service Graph Connector","sn_cmdb_ws_service_graph_connector","","false","2024-05-16 12:20:57"
"Code Search Group","sn_codesearch_search_group","Application File","false","2015-09-07 13:20:45"
"Code Search Table","sn_codesearch_table","Application File","false","2015-09-07 13:20:51"
"Developer Collaboration Task","sn_collab_request_dev_collab_task","Task","false","2025-01-23 21:33:44"
"Permission Section","sn_collab_request_permission_section","","false","2025-01-23 21:33:44"
"Permission Set Section Mapping","sn_collab_request_permission_set_section_mapping","","false","2025-01-23 21:33:44"
"Request Subtask","sn_creatorstudio_child_task","Task","false","2025-01-23 22:08:39"
"New Application Admin Task","sn_creatorstudio_new_application_admin_task","Task","false","2025-01-23 22:08:39"
"New Application Task","sn_creatorstudio_new_application_task","Task","false","2025-01-23 22:08:39"
"Request App Config","sn_creatorstudio_request_app_config","Application File","false","2025-01-23 22:08:39"
"Request Task","sn_creatorstudio_task","Task","true","2025-01-23 22:08:39"
"Critical Updates","sn_critical_update","","false","2024-05-16 12:13:17"
"Code Signing Plugin Signatures","sn_cs_plugin_signatures","","false","2024-05-16 12:11:33"
"Decision Condition","sn_decision_table_decision_condition","Application File","false","2024-05-16 12:31:07"
"Decision table excel action history","sn_decision_table_excel_action_history","","false","2024-05-16 12:31:07"
"App Dependency Client Application Details","sn_dependentclient_application","","false","2024-05-16 12:05:02"
"App Dependency Client App Plugin Mapping","sn_dependentclient_app_plugin_map","","false","2024-05-16 12:05:02"
"App Dependency Client Plugin Details","sn_dependentclient_plugin","","false","2024-05-16 12:05:02"
"Deployment Environment Result","sn_deploy_pipeline_deployment_environment_result","","false","2025-01-23 21:33:45"
"Deployment Request","sn_deploy_pipeline_deployment_request","Task","false","2025-01-23 21:33:46"
"Scan Suite","sn_deploy_pipeline_scan_suite","","false","2025-01-23 21:33:45"
"Scheduled Deployment","sn_deploy_pipeline_scheduled_deployment","","false","2025-01-23 21:33:45"
"Scan Suite","sn_deploy_pipeline_st_scan_suite","","false","2025-01-23 21:33:46"
"Studio Navigation Module","sn_devstudio_navigation_module","Application File","false","2024-05-16 11:59:46"
"Studio Preferences","sn_devstudio_studio_preferences","","false","2024-05-16 11:59:47"
"Studio User Preferences","sn_devstudio_user_preferences","","false","2024-05-16 11:59:47"
"Default Console Application","sn_dfc_application","","false","2024-05-16 12:18:47"
"Default Console Product","sn_dfc_product","","false","2024-05-16 12:18:47"
"Canvas Action","sn_diagram_builder_canvas_action","UI Action","false","2024-05-16 12:19:53"
"Category","sn_diagram_builder_category","Application File","false","2024-05-16 12:19:50"
"Diagram Configuration","sn_diagram_builder_configuration","Application File","false","2024-05-16 12:19:51"
"Connector Port","sn_diagram_builder_connector_port","Application File","false","2024-05-16 12:19:51"
"Diagram Context Menu Option","sn_diagram_builder_context_menu_option","UI Action","false","2024-05-16 12:19:51"
"Diagram Action","sn_diagram_builder_diagram_action","Application File","false","2024-05-16 12:19:51"
"Diagram Action Argument","sn_diagram_builder_diagram_action_argument","Application File","false","2024-05-16 12:19:52"
"Diagram Action Dependency","sn_diagram_builder_diagram_action_dependency","Application File","false","2024-05-16 12:19:52"
"Diagram Templates","sn_diagram_builder_diagram_template","Application File","false","2024-05-16 12:19:53"
